Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend,Mean_Rainfall_mm
12,2020-01-01,1.0328482076284202,0.1658604607246382,-1.007940096705508,Ishaqbini Hirola Community Conservancy,2,Overall Stable,2.206648765058566,Stable,11.80113026382252
12,2021-01-01,0.8569142798411528,0.3448401578770356,-0.8870547458479386,Ishaqbini Hirola Community Conservancy,0,Overall Stable,2.088809183566127,Stable,9.769145857008128
12,2022-01-01,-0.3287270414501528,0.0098926756598335,0.5916503651250699,Ishaqbini Hirola Community Conservancy,1,Overall Stable,0.9302700822350564,Stable,7.522276622483643
12,2023-01-01,-0.4098998077931026,0.0234222549818935,0.651780929746461,Ishaqbini Hirola Community Conservancy,1,Overall Stable,1.085102992521457,Stable,16.925153031688694
12,2024-01-01,-0.3549776027398423,-0.1172633743442259,0.668171472216119,Ishaqbini Hirola Community Conservancy,1,Overall Stable,1.1404124493001873,Stable,10.728626391573014
12,2025-01-01,-0.3975523684404473,-0.2019278556135935,0.6932850836821096,Ishaqbini Hirola Community Conservancy,1,Overall Stable,1.2927653077361505,Stable,0.9170217623659216
1,2019-01-01,-0.5945831247745184,0.7517795846687676,0.1818618531941464,Lake Nakuru,0,Overall Loss,1.5282245626374324,Severe Risk Loss,15.194120134336313
1,2020-01-01,-0.5955652767510752,0.5120112393282428,0.1337398179601318,Lake Nakuru,1,Overall Loss,1.2413163340394495,Moderate Risk Loss,19.08327129208006
1,2021-01-01,-0.7634316541167557,0.8226474444536381,0.3519864644135438,Lake Nakuru,1,Overall Loss,1.9380655629839376,Severe Risk Loss,13.197939442007277
1,2022-01-01,-0.9757094651864188,0.3907326184799443,0.9181264741170184,Lake Nakuru,1,Overall Loss,2.2845685577833814,Severe Risk Loss,12.78501672049812
1,2023-01-01,-1.144270577344773,0.4766157630396166,1.0195569671902187,Lake Nakuru,1,Overall Loss,2.6404433075746083,Severe Risk Loss,13.316020097015985
